"117";"14-G-1";"AC19";"10";"0";"5";"5";"2021-04-30 15:35:18"
"118";"15-G-1";"F1118P-16-150W";"5";"14";"3";"73";"2021-04-30 13:50:39"
"119";"15-G-1";"G1016D";"5";"9";"2";"47";"2021-04-30 13:50:39"
"120";"15-G-1";"G1116P-16-150W";"5";"19";"0";"95";"2021-04-30 13:50:39"
"121";"15-G-1";"TEF1218P-16-250W";"5";"3";"3";"18";"2021-04-30 13:50:39"
"122";"15-G-1";"G1124P-24-250W";"3";"7";"1";"22";"2021-04-30 13:50:39"
"123";"15-G-1";"G5328P-24-410W";"3";"22";"1";"67";"2021-04-30 13:50:39"
"124";"16-G-1";"TEG3224P";"0";"0";"1";"1";"2021-04-30 13:50:39"
"125";"0-G-1";"TEG1016G";"5";"31";"3";"158";"2021-04-30 13:50:39"
"126";"0-G-1";"TEG1024G";"5";"12";"2";"62";"2021-04-30 13:50:39"
"127";"0-G-1";"TEG1024D";"5";"2";"3";"13";"2021-04-30 13:50:39"
"128";"0-G-1";"E30";"40";"10";"10";"410";"2021-04-30 13:50:39"
"129";"0-G-1";"TEG1105P-4-63W";"30";"8";"8";"248";"2021-04-30 13:50:39"
"130";"0-G-1";"TEG1016D";"5";"29";"3";"148";"2021-04-30 13:50:39"
"131";"0-G-2";"F3";"20";"0";"15";"15";"2021-04-30 14:11:30"
"132";"0-G-2";"TEF1105P-4-63W";"30";"1";"4";"34";"2021-04-30 14:11:30"
"133";"0-G-2";"SP9";"60";"2";"14";"134";"2021-04-30 13:50:39"
"134";"0-G-2";"AC10";"10";"6";"0";"60";"2021-04-30 13:50:39"
"135";"0-G-2";"AC6";"10";"23";"8";"238";"2021-04-30 14:11:41"
"136";"0-G-2";"AC10U";"10";"10";"6";"106";"2021-04-30 14:11:07"
"137";"0-G-2";"AC21";"10";"5";"9";"59";"2021-04-30 13:50:39"
"138";"0-G-2";"TEF1210P-8-150W";"5";"10";"4";"54";"2021-04-30 14:11:07"
"139";"0-G-2";"TX3";"10";"2";"0";"20";"2021-04-30 13:50:39"
"140";"0-G-2";"G3";"5";"7";"2";"37";"2021-04-30 13:50:39"
"141";"0-G-3";"W20E";"5";"19";"2";"97";"2021-04-30 13:50:39"
"142";"0-G-3";"MW6-2PK";"12";"81";"0";"972";"2021-04-30 14:11:41"
"143";"0-G-3";"TEF1109DT";"30";"5";"3";"153";"2021-04-30 13:50:39"
"144";"0-G-3";"SP3-2PK";"20";"4";"14";"94";"2021-04-30 14:11:24"
"145";"0-G-3";"TEF1110P-8-102W";"0";"0";"6";"6";"2021-04-30 13:50:39"
"146";"0-G-3";"TEG1005D";"60";"2";"50";"170";"2021-04-30 14:11:07"
"147";"0-G-3";"TEF1106P-4-63W";"0";"0";"4";"4";"2021-04-30 14:11:30"
"148";"0-G-3";"TEF1109P-8-102W";"10";"2";"3";"23";"2021-04-30 13:50:39"
"149";"0-G-4";"M3";"10";"2";"1";"21";"2021-04-30 13:50:39"
"150";"0-G-4";"i9";"20";"3";"5";"65";"2021-04-30 13:50:39"
"151";"0-G-4";"i24";"20";"1";"17";"37";"2021-04-30 13:50:39"
"152";"0-G-4";"i25";"20";"1";"17";"37";"2021-04-30 13:50:39"
"153";"0-G-4";"O2";"0";"0";"8";"8";"2021-04-30 13:50:39"
"154";"0-G-4";"O4";"0";"0";"2";"2";"2021-04-30 13:50:39"
"155";"0-G-4";"O6";"0";"0";"6";"6";"2021-04-30 13:50:39"
"156";"0-G-4";"O9";"6";"3";"0";"18";"2021-04-30 13:50:39"
"157";"0-G-4";"PoE15F";"60";"1";"9";"69";"2021-04-30 13:50:39"
"158";"0-G-4";"PoE30G-AT";"30";"1";"4";"34";"2021-04-30 13:50:39"
"159";"0-G-5";"MW6-3PK";"6";"150";"1";"901";"2021-04-30 13:50:39"
"160";"0-G-5";"MW3-3PK";"6";"133";"0";"798";"2021-04-30 13:50:39"
"161";"0-0-1";"MW3-1PK";"24";"2";"9";"57";"2021-04-30 16:19:18"
"162";"0-0-1";"MW6-1PK";"20";"2";"7";"47";"2021-04-30 15:14:37"
"163";"0-0-1";"SP3";"60";"1";"0";"60";"2021-04-30 13:50:39"
"164";"0-0-1";"U12";"40";"11";"22";"462";"2021-04-30 13:50:39"
"165";"0-0-1";"U3";"120";"2";"0";"240";"2021-04-30 13:50:39"
"166";"0-0-1";"U9";"120";"1";"90";"210";"2021-04-30 13:50:39"
"167";"0-0-2";"A15";"40";"4";"11";"171";"2021-04-30 14:11:35"
"168";"0-0-2";"MW12-2PK";"0";"0";"6";"6";"2021-04-30 13:50:39"
"169";"0-0-2";"4G185";"0";"0";"25";"25";"2021-04-30 14:11:30"
"170";"0-0-2";"AC5";"0";"0";"3";"3";"2021-04-30 13:50:39"
"171";"0-0-2";"TEG1109P-8-102W-THAI";"0";"0";"4";"4";"2021-04-30 13:50:39"
"172";"0-0-2";"A301";"0";"0";"0";"0";"2021-04-30 14:10:07"
"173";"0-0-2";"SG108";"40";"0";"13";"13";"2021-04-30 13:50:39"
